ckpt,acc,prec,recall,f1
ckpt-495-0.65361,97.78393888867346,90.6351652114364,89.1545975075783,89.88878512607182
ckpt-500-0.63727,97.7878165109155,90.66940592364321,89.18827888177837,89.92274386620255
ckpt-505-0.64027,97.78393888867346,90.65068493150686,89.1545975075783,89.89641704873492
ckpt-510-0.65650,97.78393888867346,90.65068493150686,89.1545975075783,89.89641704873492
ckpt-515-0.63048,97.7878165109155,90.66780821917808,89.17143819467834,89.91339786041773
ckpt-520-0.63463,97.78975532203653,90.6988694758479,89.17143819467834,89.92866847826089
ckpt-525-0.63531,97.78393888867346,90.6351652114364,89.1545975075783,89.88878512607182
ckpt-530-0.64256,97.78587769979448,90.65068493150686,89.1545975075783,89.89641704873492
ckpt-535-0.62920,97.7878165109155,90.66780821917808,89.17143819467834,89.91339786041773
ckpt-540-0.63752,97.7878165109155,90.66620996746018,89.1545975075783,89.9040502674705
ckpt-545-0.65432,97.7878165109155,90.66780821917808,89.17143819467834,89.91339786041773
ckpt-550-0.63090,97.78587769979448,90.6522855675398,89.17143819467834,89.90576449613721
ckpt-555-0.63437,97.78393888867346,90.65068493150686,89.1545975075783,89.89641704873492
ckpt-560-0.63894,97.78393888867346,90.6351652114364,89.1545975075783,89.88878512607182
ckpt-565-0.64042,97.78975532203653,90.66780821917808,89.17143819467834,89.91339786041773
ckpt-570-0.63576,97.79169413315755,90.68493150684932,89.18827888177837,89.93037867210053
ckpt-575-0.64561,97.78975532203653,90.68333618770338,89.17143819467834,89.92103252101553
ckpt-580-0.64223,97.79169413315755,90.68493150684932,89.18827888177837,89.93037867210053
ckpt-585-0.62416,97.78975532203653,90.66780821917808,89.17143819467834,89.91339786041773
